Geneid,NEGF1,NEGF1yuan,NEGF2yuan,NEGF3,NEGF3yuan
ENSG00000224051,683,764,761,637,726
ENSG00000169962,17,11,15,10,10
ENSG00000107404,1232,1307,1875,1174,1498
ENSG00000284372,0,0,0,0,0
ENSG00000162576,11272,12396,15830,11413,13178
ENSG00000175756,872,1459,1823,749,1721
ENSG00000223663,2,0,3,1,1
ENSG00000221978,3265,2793,2892,3335,3096
ENSG00000224870,118,185,211,98,205
ENSG00000242485,485,824,859,394,943
ENSG00000264293,0,0,0,0,0
ENSG00000272455,24,23,22,25,25
ENSG00000235098,14,28,48,19,41
ENSG00000225905,1,4,1,1,3
ENSG00000205116,3,0,1,0,0
ENSG00000225285,2,0,1,0,2
ENSG00000179403,236,165,216,290,199
ENSG00000215915,1,9,6,1,2
ENSG00000160072,475,761,978,430,941
ENSG00000284740,4,1,1,2,1
ENSG00000197785,488,898,1175,484,975
ENSG00000205090,86,65,71,94,70
ENSG00000160075,1509,2229,2325,1522,2553
ENSG00000215014,8,9,25,9,21
ENSG00000274481,0,0,0,0,0
ENSG00000228594,285,210,210,282,198
ENSG00000286989,8,4,11,6,4
ENSG00000272106,33,43,42,25,63
ENSG00000197530,1322,948,1352,1410,1079
ENSG00000189409,5,0,4,10,7
ENSG00000248333,696,767,997,686,802
ENSG00000272004,2,3,1,0,3
ENSG00000189339,2776,2487,2438,2845,2450
ENSG00000269737,67,77,63,86,56
ENSG00000215914,8,5,11,11,12
ENSG00000008128,129,155,154,137,149
ENSG00000268575,69,40,31,96,60
ENSG00000227775,146,69,66,145,74
ENSG00000215790,191,168,163,186,177
ENSG00000008130,1077,1287,1540,1062,1436
ENSG00000078369,6374,9697,10335,6161,10024
ENSG00000231050,1,3,5,3,7
ENSG00000169885,26,6,12,15,10
ENSG00000178821,3,5,9,6,6
ENSG00000142609,0,0,4,0,4
ENSG00000233542,0,1,0,0,0
ENSG00000187730,0,0,1,0,0
ENSG00000226969,0,0,0,0,0
ENSG00000067606,20,18,32,14,19
ENSG00000271806,0,0,0,2,0
ENSG00000182873,33,24,28,44,30
ENSG00000162585,931,946,1279,944,1072
ENSG00000234396,0,0,1,2,0
ENSG00000157933,3323,3717,4196,3177,3662
ENSG00000287356,20,37,29,20,33
ENSG00000116151,94,80,92,74,71
ENSG00000272161,1,0,1,0,0
ENSG00000269896,26,3,7,15,9
ENSG00000272420,3,0,0,4,0
ENSG00000157916,1709,2275,2077,1674,2428
ENSG00000157911,213,354,358,235,387
ENSG00000149527,0,0,0,0,0
ENSG00000224387,0,0,0,0,0
ENSG00000229393,0,0,0,0,0
ENSG00000157881,29,26,20,16,34
ENSG00000197921,0,0,0,0,0
ENSG00000272449,0,0,0,0,0
ENSG00000238164,0,0,0,0,0
ENSG00000157873,5,4,4,0,4
ENSG00000225931,0,0,0,0,0
ENSG00000228037,0,0,0,0,0
ENSG00000157870,17,13,18,8,29
ENSG00000142606,0,0,0,0,0
ENSG00000237058,0,0,0,0,0
ENSG00000215912,0,0,0,0,0
ENSG00000285945,0,0,0,0,0
ENSG00000283259,0,0,0,0,0
ENSG00000233234,0,0,0,0,0
ENSG00000287396,0,0,0,0,0
ENSG00000231630,0,0,0,0,0
ENSG00000284745,0,0,0,0,0
ENSG00000169717,0,0,0,0,0
ENSG00000177133,0,3,0,0,0
ENSG00000142611,9,6,3,9,1
ENSG00000283572,0,0,0,0,0
ENSG00000226286,0,0,0,0,0
ENSG00000279839,0,0,0,0,0
ENSG00000272235,1,2,3,0,2
ENSG00000287828,4,13,11,3,13
ENSG00000286518,0,1,0,0,0
ENSG00000130762,10,30,33,10,32
ENSG00000272088,3,2,0,0,5
ENSG00000162591,3404,2771,3481,3218,3049
ENSG00000207776,0,0,0,0,0
ENSG00000238260,5,1,4,14,3
ENSG00000158109,842,1129,1125,859,1213
ENSG00000116213,245,334,307,273,394
ENSG00000078900,3,0,2,0,0
ENSG00000227589,0,0,0,0,0
ENSG00000235131,0,0,0,0,0
ENSG00000227372,631,588,684,653,583
ENSG00000276189,0,0,0,0,0
ENSG00000162592,0,1,4,1,2
ENSG00000235169,32,34,46,24,28
ENSG00000130764,908,1244,1346,827,1243
ENSG00000266075,3,0,2,1,1
ENSG00000272153,20,13,17,24,21
ENSG00000116198,636,1018,955,596,1023
ENSG00000169598,117,172,181,132,159
ENSG00000198912,240,317,285,245,363
ENSG00000236423,9,8,11,15,5
ENSG00000233304,0,0,0,0,0
ENSG00000226374,0,0,0,0,0
ENSG00000284668,0,0,0,0,0
ENSG00000284703,0,1,1,0,0
ENSG00000229280,0,0,0,0,0
ENSG00000235054,0,0,0,0,0
ENSG00000284694,0,0,0,0,0
ENSG00000227169,0,0,0,0,0
ENSG00000232596,0,0,0,0,0
ENSG00000196581,31,60,66,44,60
ENSG00000287586,0,2,0,0,0
ENSG00000284739,0,0,0,0,0
ENSG00000284674,0,0,2,0,0
ENSG00000231510,0,0,0,0,0
ENSG00000284616,0,0,0,0,0
ENSG00000284692,0,0,0,0,0
ENSG00000284666,0,0,0,0,0
ENSG00000260972,0,0,0,0,0
ENSG00000283356,0,0,0,0,0
ENSG00000236948,0,0,0,0,0
ENSG00000264341,0,0,0,0,0
ENSG00000264101,0,0,0,0,1
ENSG00000131697,336,295,317,332,333
ENSG00000069424,251,312,337,227,328
ENSG00000116254,4,4,8,1,4
ENSG00000285629,0,0,0,0,0
ENSG00000116251,842,808,662,801,871
ENSG00000226944,2,14,13,4,7
ENSG00000158286,436,551,639,384,617
ENSG00000116237,2828,3019,2828,2975,3147
ENSG00000225077,6,4,2,3,7
ENSG00000173673,0,0,0,0,0
ENSG00000158292,642,477,611,725,437
ENSG00000097021,651,1432,1619,685,1535
ENSG00000271746,0,3,2,0,1
ENSG00000069812,0,1,0,1,3
ENSG00000187017,0,4,2,0,5
ENSG00000265392,0,0,0,0,0
ENSG00000231868,0,0,0,0,0
ENSG00000215788,189,181,168,157,229
ENSG00000171680,496,638,728,460,619
ENSG00000162408,410,547,632,492,610
ENSG00000253022,0,1,0,0,0
ENSG00000229519,8,5,6,8,2
ENSG00000173662,16,17,6,6,15
ENSG00000204859,233,239,281,245,277
ENSG00000162413,1268,1452,1728,1306,1420
ENSG00000116273,736,641,565,793,638
ENSG00000041988,186,213,227,150,224
ENSG00000007923,560,722,874,550,763
ENSG00000228750,0,0,0,0,1
ENSG00000284744,1,0,0,0,0
ENSG00000237436,1,0,7,2,2
ENSG00000171735,211,284,351,214,367
ENSG00000227950,0,1,0,0,1
ENSG00000237365,0,0,0,0,0
ENSG00000207056,0,0,0,0,0
ENSG00000237402,0,1,0,0,0
ENSG00000237728,0,0,0,0,0
ENSG00000225126,0,0,0,0,0
ENSG00000270171,0,0,0,0,0
ENSG00000270035,0,0,0,0,0
ENSG00000269978,0,0,0,0,0
ENSG00000049245,1821,2623,1932,1969,2570
ENSG00000269925,16,10,9,9,24
ENSG00000049246,341,87,107,398,125
ENSG00000236266,3,1,1,10,0
ENSG00000049247,0,0,0,0,0
ENSG00000049249,8,1,2,10,0
ENSG00000270330,0,0,0,0,0
ENSG00000116288,1635,2567,2935,1526,2931
ENSG00000200344,0,1,0,1,0
ENSG00000284747,6,7,8,9,21
ENSG00000284716,0,1,0,0,1
ENSG00000116285,560,733,637,549,681
ENSG00000238290,0,1,1,1,0
ENSG00000232848,0,0,0,0,0
ENSG00000229305,0,0,0,0,0
ENSG00000227634,0,0,0,0,0
ENSG00000200975,0,1,0,0,0
ENSG00000233645,0,0,0,0,0
ENSG00000251977,0,0,0,0,0
ENSG00000162426,66,135,178,79,152
ENSG00000252254,0,3,0,0,0
ENSG00000142599,2400,3183,3827,2452,3015
ENSG00000232912,1,2,4,2,4
ENSG00000221083,0,0,0,0,1
ENSG00000270282,0,0,2,0,0
ENSG00000234619,0,0,0,0,0
ENSG00000224315,0,0,0,0,0
ENSG00000222511,0,0,0,1,0
ENSG00000226545,2,0,0,0,0
ENSG00000228423,0,0,0,0,0
ENSG00000229716,0,0,0,0,0
ENSG00000074800,32997,30296,34377,31581,32761
ENSG00000274258,2,3,0,0,0
ENSG00000230679,0,0,1,0,1
ENSG00000201725,0,0,0,0,0
ENSG00000238249,2,4,0,2,1
ENSG00000232208,0,1,0,0,0
ENSG00000232663,0,0,0,0,0
ENSG00000131686,0,0,0,0,0
ENSG00000265141,0,0,0,0,0
ENSG00000197241,0,0,0,0,0
ENSG00000142583,119,20,24,106,15
ENSG00000252404,0,0,0,0,0
ENSG00000180758,147,265,211,162,220
ENSG00000228526,377,262,257,388,329
ENSG00000284357,0,0,0,0,0
ENSG00000234546,82,68,83,67,79
ENSG00000049239,4447,2218,2381,4474,2374
ENSG00000171621,428,267,268,420,290
ENSG00000284652,0,3,0,2,2
ENSG00000284693,15,6,13,14,16
ENSG00000252956,0,0,0,0,0
ENSG00000235263,0,0,0,0,0
ENSG00000171612,48,60,66,54,61
ENSG00000231181,4,2,1,2,3
ENSG00000188807,283,367,443,326,407
ENSG00000171608,1133,978,1070,1161,945
ENSG00000179840,1,0,0,0,0
ENSG00000233268,0,0,0,0,0
ENSG00000231789,8,32,33,15,28
ENSG00000171603,5594,4747,5469,5718,5053
ENSG00000271264,0,0,0,0,0
ENSG00000280113,0,0,0,1,0
ENSG00000178585,210,272,310,242,299
ENSG00000223989,0,0,0,0,0
ENSG00000285701,3,1,0,0,0
ENSG00000162441,505,543,466,464,499
ENSG00000228150,3,3,2,2,2
ENSG00000173614,203,303,214,182,266
ENSG00000202415,0,2,7,1,2
ENSG00000283611,0,1,2,0,1
ENSG00000265521,0,0,0,0,0
ENSG00000241326,0,0,0,0,0
ENSG00000162444,0,6,7,0,1
ENSG00000130939,1470,2022,1787,1568,1947
ENSG00000224340,0,0,0,0,0
ENSG00000233623,1,0,3,1,0
ENSG00000201746,4,0,1,1,0
ENSG00000054523,1496,1831,1547,1529,1703
ENSG00000264881,0,0,0,0,0
ENSG00000199562,2,0,1,1,0
ENSG00000264501,0,0,0,0,0
ENSG00000284735,5,4,3,7,5
ENSG00000284642,1,1,3,4,6
ENSG00000142657,1200,1554,1456,1165,1730
ENSG00000271989,0,1,0,1,0
ENSG00000251503,1,10,1,3,3
ENSG00000175279,14,17,29,8,23
ENSG00000241563,3,1,4,8,4
ENSG00000160049,810,1062,1143,830,1170
ENSG00000203469,0,0,0,0,0
ENSG00000142655,439,526,607,383,560
ENSG00000287727,8,6,6,6,3
ENSG00000243267,1,1,2,0,4
ENSG00000130940,3,13,20,4,20
ENSG00000272078,0,3,4,0,3
ENSG00000225158,0,0,0,0,0
ENSG00000175262,0,0,1,0,0
ENSG00000215785,0,2,0,1,0
ENSG00000120948,2270,3150,2917,2311,3320
ENSG00000009724,46,34,32,56,49
ENSG00000116649,1613,2382,2615,1568,2505
ENSG00000171824,1051,1278,1276,1149,1410
ENSG00000226849,6,3,1,5,1
ENSG00000230337,1,8,7,2,9
ENSG00000198793,1543,1992,2004,1557,1921
ENSG00000225602,1,0,0,0,0
ENSG00000253086,0,0,0,1,0
ENSG00000171819,4,7,0,0,0
ENSG00000207451,0,0,0,0,0
ENSG00000238173,0,0,0,0,0
ENSG00000120942,221,304,344,256,348
ENSG00000238199,1,0,3,4,3
ENSG00000284646,0,0,0,0,0
ENSG00000224338,0,0,0,0,0
ENSG00000204624,8,2,4,8,7
ENSG00000285833,0,0,0,0,0
ENSG00000235643,0,0,0,0,0
ENSG00000284708,1,0,0,0,0
ENSG00000116661,98,52,69,80,78
ENSG00000132879,399,324,451,412,398
ENSG00000116663,73,76,87,69,84
ENSG00000116670,503,553,725,462,690
ENSG00000162490,3,0,1,1,2
ENSG00000177674,953,702,753,978,793
ENSG00000215910,3,0,1,0,0
ENSG00000177553,0,0,0,0,0
ENSG00000177000,934,701,785,936,714
ENSG00000011021,852,805,846,907,766
ENSG00000276470,0,0,0,0,0
ENSG00000278852,0,0,0,0,0
ENSG00000175206,5,7,6,9,2
ENSG00000275915,0,0,0,0,0
ENSG00000120937,0,2,0,0,0
ENSG00000224904,0,2,0,1,1
ENSG00000285646,12,9,3,10,9
ENSG00000199347,0,0,0,0,0
ENSG00000201801,0,0,0,0,0
ENSG00000116685,1740,1955,2429,1646,2117
ENSG00000083444,9869,6258,7831,9588,6702
ENSG00000287384,0,4,3,6,2
ENSG00000116688,1994,2568,2732,1915,2571
ENSG00000270914,0,0,0,0,0
ENSG00000116691,190,205,326,162,280
ENSG00000202461,1,1,1,2,3
ENSG00000276869,0,0,0,0,0
ENSG00000243539,0,0,0,0,0
ENSG00000120949,1,0,1,0,1
ENSG00000201135,0,0,0,0,0
ENSG00000227875,0,0,0,0,0
ENSG00000285604,0,0,0,0,0
ENSG00000283789,0,0,0,0,0
ENSG00000028137,474,227,211,389,173
ENSG00000263676,0,0,0,0,0
ENSG00000225196,0,0,0,0,0
ENSG00000252969,0,0,0,0,0
ENSG00000048707,1446,1637,1532,1657,1496
ENSG00000239149,2,0,1,2,5
ENSG00000229484,0,0,0,0,1
ENSG00000162496,262,1596,1797,250,1825
ENSG00000221340,0,8,7,4,3
ENSG00000276830,0,4,4,1,0
ENSG00000272482,4,12,18,7,18
ENSG00000204518,0,0,0,0,2
ENSG00000226166,0,0,0,0,0
ENSG00000188984,1,0,0,0,0
ENSG00000157330,0,0,0,0,0
ENSG00000116726,0,0,0,0,0
ENSG00000116721,0,0,0,0,0
ENSG00000228338,0,0,0,0,0
ENSG00000239810,0,0,0,0,0
ENSG00000231103,1,0,0,0,0
ENSG00000179172,6,6,8,3,4
ENSG00000120952,0,0,0,0,0
ENSG00000243073,0,0,0,0,0
ENSG00000187545,0,0,0,0,0
ENSG00000204510,0,0,0,0,0
ENSG00000207434,0,0,0,0,0
ENSG00000234064,0,0,0,0,0
ENSG00000232423,0,0,0,0,0
ENSG00000274178,0,0,0,0,0
ENSG00000274764,0,0,0,0,0
ENSG00000277058,1,1,1,0,0
ENSG00000229571,0,0,0,0,0
ENSG00000277862,0,0,0,0,0
ENSG00000236179,0,0,0,0,0
ENSG00000275774,0,1,0,0,1
ENSG00000229978,0,0,0,0,0
ENSG00000233336,0,0,0,0,0
ENSG00000280267,0,0,0,0,0
ENSG00000179412,0,0,1,0,0
ENSG00000204505,0,0,0,0,1
ENSG00000279169,0,0,0,0,0
ENSG00000279804,0,0,0,0,0
ENSG00000250894,0,0,0,0,0
ENSG00000270601,0,0,0,0,0
ENSG00000231219,0,0,0,0,0
ENSG00000207511,0,0,0,0,0
ENSG00000182330,0,0,0,0,0
ENSG00000237700,0,0,0,0,0
ENSG00000204501,0,0,0,0,0
ENSG00000228229,0,0,0,0,0
ENSG00000204481,0,0,0,0,0
ENSG00000204480,0,0,0,0,0
ENSG00000204479,0,0,0,0,0
ENSG00000204478,0,0,0,0,0
ENSG00000162494,0,2,1,5,0
ENSG00000259961,0,0,0,0,0
ENSG00000215909,0,0,0,0,0
ENSG00000162493,200,11,11,188,12
ENSG00000222952,0,0,0,0,0
ENSG00000237445,0,0,0,0,0
ENSG00000253085,0,0,0,0,0
ENSG00000116731,871,1094,979,888,1053
ENSG00000189337,357,602,692,395,613
ENSG00000252151,0,0,0,0,0
ENSG00000231606,0,0,0,0,3
ENSG00000234593,2,0,0,0,0
ENSG00000235829,0,0,0,0,1
ENSG00000287756,0,0,0,0,0
ENSG00000175147,3,1,1,5,0
ENSG00000171729,160,76,91,112,101
ENSG00000204464,0,0,0,0,0
ENSG00000215720,0,0,0,2,0
ENSG00000278480,0,0,0,0,0
ENSG00000142621,1,2,0,7,5
ENSG00000233485,0,0,0,0,1
ENSG00000236045,0,2,0,0,0
ENSG00000228140,1,0,0,0,1
ENSG00000142634,1166,1841,2201,1102,1925
ENSG00000162438,2,2,2,3,2
ENSG00000142615,1,1,0,0,1
ENSG00000215704,0,2,4,3,2
ENSG00000132906,128,153,143,124,166
ENSG00000116138,426,578,543,426,490
ENSG00000251866,0,0,0,0,0
ENSG00000272510,0,0,0,0,0
ENSG00000116771,36,95,95,36,101
ENSG00000237301,2,1,3,1,0
ENSG00000235084,4,25,24,15,12
ENSG00000252417,0,0,0,0,0
ENSG00000236500,0,0,0,0,0
ENSG00000197312,418,587,535,514,633
ENSG00000215695,0,0,0,0,0
ENSG00000271742,0,0,0,3,0
ENSG00000116786,2789,2714,3271,2713,2865
ENSG00000237938,32,21,24,36,25
ENSG00000162461,49,36,43,61,34
ENSG00000224459,0,0,1,0,0
ENSG00000162460,0,2,3,0,0
ENSG00000162458,2459,4251,5223,2308,4563
ENSG00000224321,4,7,8,0,7
ENSG00000233954,107,138,142,76,150
ENSG00000178715,15,34,33,22,30
ENSG00000179743,16,26,24,24,24
ENSG00000065526,2168,2153,2346,2372,2105
ENSG00000270620,0,0,0,0,0
ENSG00000116809,499,585,669,595,636
ENSG00000234607,1,5,1,2,1
ENSG00000231353,0,0,0,0,0
ENSG00000275503,0,0,0,0,0
ENSG00000224966,0,0,0,0,0
ENSG00000183888,0,0,0,0,0
ENSG00000233078,0,0,0,0,0
ENSG00000173641,214,258,269,251,284
ENSG00000186510,9,8,5,10,15
ENSG00000232456,4,1,5,1,4
ENSG00000184908,13,11,13,10,12
ENSG00000185519,28,25,40,39,27
ENSG00000142627,972,1957,2629,826,1990
ENSG00000227959,5,13,16,7,9
ENSG00000224621,1,8,3,4,2
ENSG00000234166,0,0,0,0,0
ENSG00000142632,197,433,443,256,445
ENSG00000237276,28,22,24,16,27
ENSG00000288398,93,72,113,73,108
ENSG00000132881,77,116,149,83,93
ENSG00000233929,2,4,2,6,1
ENSG00000037637,524,522,506,505,536
ENSG00000055070,2035,3305,3603,2034,3448
ENSG00000226457,0,2,1,0,3
ENSG00000187144,1,0,4,4,4
ENSG00000157191,1026,1573,1823,1055,1834
ENSG00000226029,29,22,20,35,17
ENSG00000080947,167,188,254,198,187
ENSG00000206652,0,1,0,0,0
ENSG00000261135,0,0,0,0,0
ENSG00000285853,0,0,0,0,0
ENSG00000224174,0,0,0,0,0
ENSG00000233421,0,0,0,0,1
ENSG00000277344,0,0,0,0,0
ENSG00000225710,0,0,0,0,0
ENSG00000219481,327,386,392,341,340
ENSG00000271732,0,0,0,0,2
ENSG00000215908,542,575,570,503,573
ENSG00000283773,0,0,0,0,0
ENSG00000186301,51,22,34,26,21
ENSG00000282143,0,0,0,0,0
ENSG00000207513,0,0,0,0,0
ENSG00000280114,0,0,0,0,0
ENSG00000236698,580,769,776,579,755
ENSG00000268869,0,0,0,0,0
ENSG00000279151,0,0,0,0,0
ENSG00000282740,1,0,0,0,0
ENSG00000058453,969,699,902,768,688
ENSG00000227684,0,0,1,0,0
ENSG00000207389,0,0,0,0,0
ENSG00000186715,5,6,6,6,7
ENSG00000223643,0,0,1,0,0
ENSG00000230239,0,0,0,0,0
ENSG00000263811,0,0,0,0,0
ENSG00000228549,0,0,1,0,0
ENSG00000277234,0,0,0,0,0
ENSG00000238142,5,8,8,4,8
ENSG00000235241,0,0,0,0,0
ENSG00000207005,0,0,0,1,0
ENSG00000272426,0,0,0,0,0
ENSG00000117122,685,550,627,653,531
ENSG00000286898,0,0,2,0,0
ENSG00000226526,6,4,1,0,5
ENSG00000159363,474,695,802,503,707
ENSG00000288636,0,0,0,0,0
ENSG00000117118,361,784,696,403,775
ENSG00000117115,40,1,0,35,3
ENSG00000204362,2,4,3,3,4
ENSG00000282843,0,0,0,0,0
ENSG00000142623,0,4,4,0,2
ENSG00000142619,0,0,2,0,2
ENSG00000266634,0,0,0,0,0
ENSG00000159339,3,0,1,0,1
ENSG00000276747,0,0,0,0,0
ENSG00000179051,1673,1541,1623,1595,1517
ENSG00000227751,0,0,0,0,0
ENSG00000074964,703,607,761,671,639
ENSG00000236648,0,0,0,0,0
ENSG00000117148,1,0,2,1,4
ENSG00000284653,0,0,0,0,0
ENSG00000261781,0,0,0,0,0
ENSG00000117154,0,0,0,0,0
ENSG00000280222,0,0,0,0,0
ENSG00000230035,0,0,0,0,0
ENSG00000225387,0,0,0,0,0
ENSG00000179023,0,0,0,0,0
ENSG00000235282,6,1,1,5,3
ENSG00000225478,0,0,0,0,0
ENSG00000009709,0,0,0,0,0
ENSG00000179002,0,0,0,0,0
ENSG00000159423,239,440,563,267,485
ENSG00000265606,0,0,0,0,0
ENSG00000221662,0,0,0,0,0
ENSG00000169991,620,794,988,595,880
ENSG00000272084,16,12,7,15,12
ENSG00000127481,8607,8982,9194,9056,8265
ENSG00000230424,2,2,8,6,6
ENSG00000127463,1884,2504,2577,1856,2499
ENSG00000053372,496,774,775,442,826
ENSG00000286064,2,7,6,12,3
ENSG00000211454,12,5,9,12,7
ENSG00000162482,16,11,10,24,14
ENSG00000270728,24,31,18,36,30
ENSG00000053371,723,928,985,728,986
ENSG00000200403,1,2,1,0,0
ENSG00000040487,352,341,498,277,417
ENSG00000077549,4509,5941,6433,4482,6192
ENSG00000240490,0,0,0,0,2
ENSG00000173436,66,62,41,71,51
ENSG00000201609,0,0,0,0,0
ENSG00000235185,0,0,0,0,0
ENSG00000158747,2683,1427,1898,2357,1733
ENSG00000270136,0,0,0,0,0
ENSG00000226396,11,3,6,8,7
ENSG00000158748,2,3,3,1,4
ENSG00000162542,588,919,1107,611,1065
ENSG00000178828,0,0,0,0,0
ENSG00000235434,0,0,0,0,0
ENSG00000169914,247,353,337,340,348
ENSG00000188784,0,0,0,0,0
ENSG00000242688,0,0,0,0,0
ENSG00000188257,0,0,1,0,0
ENSG00000127472,0,2,0,0,0
ENSG00000117215,0,0,0,0,0
ENSG00000158786,0,0,1,0,0
ENSG00000227066,0,0,0,0,0
ENSG00000187980,0,0,0,2,0
ENSG00000162543,0,0,0,0,0
ENSG00000228105,0,0,0,0,0
ENSG00000284710,0,0,0,0,0
ENSG00000158816,0,0,0,0,0
ENSG00000226664,0,0,0,0,0
ENSG00000236963,1,0,0,3,0
ENSG00000226487,0,0,0,0,1
ENSG00000284641,0,0,0,0,0
ENSG00000284743,0,0,0,0,0
ENSG00000162545,2527,2752,2354,2937,2639
ENSG00000090432,535,774,759,549,749
ENSG00000215520,0,0,0,0,0
ENSG00000183114,15,13,26,17,13
ENSG00000158825,74,116,151,90,153
ENSG00000158828,881,1049,1351,799,1173
ENSG00000284005,0,0,0,0,0
ENSG00000117242,82,123,106,120,118
ENSG00000244038,3502,4597,4707,3577,4762
ENSG00000117245,42,122,132,41,135
ENSG00000235432,0,0,0,0,0
ENSG00000189410,69,146,175,68,196
ENSG00000233069,0,1,0,0,1
ENSG00000127483,3570,4308,3633,3873,4208
ENSG00000075151,2761,3569,3315,2733,3559
ENSG00000251914,0,0,0,0,0
ENSG00000221808,0,0,0,0,0
ENSG00000233072,0,0,0,0,1
ENSG00000236073,0,0,0,0,3
ENSG00000235112,0,0,0,2,0
ENSG00000287192,0,3,2,0,1
ENSG00000117298,9252,6715,7963,8726,6780
ENSG00000236936,4,1,1,7,2
ENSG00000231105,12,5,4,8,0
ENSG00000236216,0,0,0,0,0
ENSG00000228823,0,0,0,0,0
ENSG00000236009,0,0,0,0,0
ENSG00000227001,144,117,115,119,134
ENSG00000187952,52,148,207,102,221
ENSG00000186543,0,1,0,0,0
ENSG00000142794,602,574,599,628,531
ENSG00000176378,0,0,0,0,0
ENSG00000162551,70,45,58,66,54
ENSG00000233431,0,2,0,0,0
ENSG00000076864,14,38,25,12,23
ENSG00000090686,1409,1543,1394,1428,1547
ENSG00000231978,0,0,0,0,0
ENSG00000187942,31,21,18,19,14
ENSG00000142798,25709,19694,24607,26283,18015
ENSG00000232037,1,1,0,0,0
ENSG00000283234,0,0,0,0,0
ENSG00000219073,1,0,0,0,0
ENSG00000285959,0,0,0,0,0
ENSG00000273610,0,0,0,0,0
ENSG00000201919,0,0,0,0,0
ENSG00000142789,0,1,0,0,0
ENSG00000278124,0,0,0,0,0
ENSG00000201273,0,0,0,0,0
